RoundNumber,EventName,Location,Country,EventDate,year
1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,2020
2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,2020
3,Hungarian Grand Prix,Budapest,Hungary,2020-07-19,2020
4,British Grand Prix,Silverstone,Great Britain,2020-08-02,2020
5,70th Anniversary Grand Prix,Silverstone,Great Britain,2020-08-09,2020
6,Spanish Grand Prix,Barcelona,Spain,2020-08-16,2020
7,Belgian Grand Prix,Spa-Francorchamps,Belgium,2020-08-30,2020
8,Italian Grand Prix,Monza,Italy,2020-09-06,2020
9,Tuscan Grand Prix,Mugello,Italy,2020-09-13,2020
10,Russian Grand Prix,Sochi,Russia,2020-09-27,2020
11,Eifel Grand Prix,Nürburgring,Germany,2020-10-11,2020
12,Portuguese Grand Prix,Portimão,Portugal,2020-10-25,2020
13,Emilia Romagna Grand Prix,Imola,Italy,2020-11-01,2020
14,Turkish Grand Prix,Istanbul,Turkey,2020-11-15,2020
15,Bahrain Grand Prix,Sakhir,Bahrain,2020-11-29,2020
16,Sakhir Grand Prix,Sakhir,Bahrain,2020-12-06,2020
17,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,2020-12-13,2020
