RoundNumber,EventName,Location,Country,EventDate,year
1,Bahrain Grand Prix,Sakhir,Bahrain,2021-03-28,2021
2,Emilia Romagna Grand Prix,Imola,Italy,2021-04-18,2021
3,Portuguese Grand Prix,Portimão,Portugal,2021-05-02,2021
4,Spanish Grand Prix,Barcelona,Spain,2021-05-09,2021
5,Monaco Grand Prix,Monte Carlo,Monaco,2021-05-23,2021
6,Azerbaijan Grand Prix,Baku,Azerbaijan,2021-06-06,2021
7,French Grand Prix,Le Castellet,France,2021-06-20,2021
8,Styrian Grand Prix,Spielberg,Austria,2021-06-27,2021
9,Austrian Grand Prix,Spielberg,Austria,2021-07-04,2021
10,British Grand Prix,Silverstone,Great Britain,2021-07-18,2021
11,Hungarian Grand Prix,Budapest,Hungary,2021-08-01,2021
12,Belgian Grand Prix,Spa-Francorchamps,Belgium,2021-08-29,2021
13,Dutch Grand Prix,Zandvoort,Netherlands,2021-09-05,2021
14,Italian Grand Prix,Monza,Italy,2021-09-12,2021
15,Russian Grand Prix,Sochi,Russia,2021-09-26,2021
16,Turkish Grand Prix,Istanbul,Turkey,2021-10-10,2021
17,United States Grand Prix,Austin,United States,2021-10-24,2021
18,Mexico City Grand Prix,Mexico City,Mexico,2021-11-07,2021
19,São Paulo Grand Prix,São Paulo,Brazil,2021-11-14,2021
20,Qatar Grand Prix,Lusail,Qatar,2021-11-21,2021
21,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2021-12-05,2021
22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,2021-12-12,2021
