RoundNumber,EventName,Location,Country,EventDate,year
1,Australian Grand Prix,Melbourne,Australia,2019-03-17,2019
2,Bahrain Grand Prix,Sakhir,Bahrain,2019-03-31,2019
3,Chinese Grand Prix,Shanghai,China,2019-04-14,2019
4,Azerbaijan Grand Prix,Baku,Azerbaijan,2019-04-28,2019
5,Spanish Grand Prix,Barcelona,Spain,2019-05-12,2019
6,Monaco Grand Prix,Monte Carlo,Monaco,2019-05-26,2019
7,Canadian Grand Prix,Montréal,Canada,2019-06-09,2019
8,French Grand Prix,Le Castellet,France,2019-06-23,2019
9,Austrian Grand Prix,Spielberg,Austria,2019-06-30,2019
10,British Grand Prix,Silverstone,Great Britain,2019-07-14,2019
11,German Grand Prix,Hockenheim,Germany,2019-07-28,2019
12,Hungarian Grand Prix,Budapest,Hungary,2019-08-04,2019
13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2019-09-01,2019
14,Italian Grand Prix,Monza,Italy,2019-09-08,2019
15,Singapore Grand Prix,Singapore,Singapore,2019-09-22,2019
16,Russian Grand Prix,Sochi,Russia,2019-09-29,2019
17,Japanese Grand Prix,Suzuka,Japan,2019-10-13,2019
18,Mexican Grand Prix,Mexico City,Mexico,2019-10-27,2019
19,United States Grand Prix,Austin,United States,2019-11-03,2019
20,Brazilian Grand Prix,São Paulo,Brazil,2019-11-17,2019
21,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,2019-12-01,2019
