RoundNumber,EventName,Location,Country,EventDate,year
1,Bahrain Grand Prix,Sakhir,Bahrain,2024-03-02,2024
2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2024-03-09,2024
3,Australian Grand Prix,Melbourne,Australia,2024-03-24,2024
4,Japanese Grand Prix,Suzuka,Japan,2024-04-07,2024
5,Chinese Grand Prix,Shanghai,China,2024-04-21,2024
6,Miami Grand Prix,Miami,United States,2024-05-05,2024
7,Emilia Romagna Grand Prix,Imola,Italy,2024-05-19,2024
8,Monaco Grand Prix,Monaco,Monaco,2024-05-26,2024
9,Canadian Grand Prix,Montréal,Canada,2024-06-09,2024
10,Spanish Grand Prix,Barcelona,Spain,2024-06-23,2024
11,Austrian Grand Prix,Spielberg,Austria,2024-06-30,2024
12,British Grand Prix,Silverstone,United Kingdom,2024-07-07,2024
13,Hungarian Grand Prix,Budapest,Hungary,2024-07-21,2024
14,Belgian Grand Prix,Spa-Francorchamps,Belgium,2024-07-28,2024
15,Dutch Grand Prix,Zandvoort,Netherlands,2024-08-25,2024
16,Italian Grand Prix,Monza,Italy,2024-09-01,2024
17,Azerbaijan Grand Prix,Baku,Azerbaijan,2024-09-15,2024
18,Singapore Grand Prix,Marina Bay,Singapore,2024-09-22,2024
19,United States Grand Prix,Austin,United States,2024-10-20,2024
20,Mexico City Grand Prix,Mexico City,Mexico,2024-10-27,2024
21,São Paulo Grand Prix,São Paulo,Brazil,2024-11-03,2024
22,Las Vegas Grand Prix,Las Vegas,United States,2024-11-23,2024
23,Qatar Grand Prix,Lusail,Qatar,2024-12-01,2024
24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,2024-12-08,2024
