RoundNumber,EventName,Location,Country,EventDate,year
1,Australian Grand Prix,Melbourne,Australia,2026-03-08,2026
2,Chinese Grand Prix,Shanghai,China,2026-03-15,2026
3,Japanese Grand Prix,Suzuka,Japan,2026-03-29,2026
4,Miami Grand Prix,Miami Gardens,United States,2026-05-03,2026
5,Canadian Grand Prix,Montréal,Canada,2026-05-24,2026
6,Monaco Grand Prix,Monte Carlo,Monaco,2026-06-07,2026
7,Barcelona Grand Prix,Barcelona,Spain,2026-06-14,2026
8,Austrian Grand Prix,Spielberg,Austria,2026-06-28,2026
9,British Grand Prix,Silverstone,United Kingdom,2026-07-05,2026
10,Belgian Grand Prix,Spa-Francorchamps,Belgium,2026-07-19,2026
11,Hungarian Grand Prix,Budapest,Hungary,2026-07-26,2026
12,Dutch Grand Prix,Zandvoort,Netherlands,2026-08-23,2026
13,Italian Grand Prix,Monza,Italy,2026-09-06,2026
14,Spanish Grand Prix,Madrid,Spain,2026-09-13,2026
15,Azerbaijan Grand Prix,Baku,Azerbaijan,2026-09-26,2026
16,Bahrain Grand Prix,Kuala Lumpur,Bahrain,2026-10-04,2026
17,Singapore Grand Prix,Marina Bay,Singapore,2026-10-11,2026
18,United States Grand Prix,Austin,United States,2026-10-25,2026
19,Mexico City Grand Prix,Mexico City,Mexico,2026-11-01,2026
20,São Paulo Grand Prix,São Paulo,Brazil,2026-11-08,2026
21,Las Vegas Grand Prix,Las Vegas,United States,2026-11-21,2026
22,Qatar Grand Prix,Lusail,Qatar,2026-11-29,2026
23,Abu Dhabi Grand Prix,Yas Marina,United Arab Emirates,2026-12-06,2026
